Price,Adj Close,Close,High,Low,Open,Volume
Ticker,055550.KS,055550.KS,055550.KS,055550.KS,055550.KS,055550.KS
Date,,,,,,
2023-03-02 00:00:00+00:00,34494.90234375,37700.0,38850.0,37600.0,38500.0,2032494
2023-03-03 00:00:00+00:00,33900.16796875,37050.0,38050.0,37050.0,37700.0,1495245
2023-03-06 00:00:00+00:00,33900.16796875,37050.0,37400.0,36600.0,37150.0,1613174
2023-03-07 00:00:00+00:00,33671.421875,36800.0,37200.0,36500.0,36900.0,1493635
2023-03-08 00:00:00+00:00,33488.42578125,36600.0,37600.0,36550.0,37100.0,1721848
2023-03-09 00:00:00+00:00,33305.4296875,36400.0,37200.0,36400.0,36600.0,2498303
2023-03-10 00:00:00+00:00,32756.43359375,35800.0,36050.0,35400.0,36000.0,1933663
2023-03-13 00:00:00+00:00,32985.18359375,36050.0,36150.0,35100.0,35700.0,1243036
2023-03-14 00:00:00+00:00,32115.9453125,35100.0,35900.0,35000.0,35450.0,1581214
2023-03-15 00:00:00+00:00,32436.19140625,35450.0,36050.0,35100.0,35550.0,1361596
2023-03-16 00:00:00+00:00,31521.20703125,34450.0,35150.0,34350.0,35000.0,2049117
2023-03-17 00:00:00+00:00,31612.70703125,34550.0,35050.0,34300.0,34650.0,2886686
2023-03-20 00:00:00+00:00,31749.955078125,34700.0,35150.0,33850.0,34150.0,1474283
2023-03-21 00:00:00+00:00,31978.70703125,34950.0,35300.0,34500.0,34600.0,1645690
2023-03-22 00:00:00+00:00,32436.19140625,35450.0,35850.0,35250.0,35700.0,1548154
2023-03-23 00:00:00+00:00,32710.689453125,35750.0,35950.0,35000.0,35050.0,1471917
2023-03-24 00:00:00+00:00,31612.70703125,34550.0,35250.0,34550.0,35250.0,1856734
2023-03-27 00:00:00+00:00,31887.201171875,34850.0,35050.0,34450.0,34650.0,1092755
2023-03-28 00:00:00+00:00,32893.68359375,35950.0,36150.0,35350.0,35800.0,1523706
2023-03-29 00:00:00+00:00,33122.4296875,36200.0,36250.0,35750.0,36000.0,1045362
2023-03-30 00:00:00+00:00,32588.568359375,35100.0,36000.0,34950.0,35950.0,1547328
2023-03-31 00:00:00+00:00,32820.68359375,35350.0,35450.0,34550.0,34750.0,1636843
2023-04-03 00:00:00+00:00,32077.923828125,34550.0,35250.0,34550.0,35150.0,1571580
2023-04-04 00:00:00+00:00,32634.998046875,35150.0,35150.0,34600.0,34750.0,975943
2023-04-05 00:00:00+00:00,32542.1484375,35050.0,35350.0,34850.0,35200.0,728126
2023-04-06 00:00:00+00:00,31845.80859375,34300.0,35200.0,34300.0,35000.0,1246435
2023-04-07 00:00:00+00:00,32402.87890625,34900.0,35000.0,34300.0,34350.0,799714
2023-04-10 00:00:00+00:00,32077.923828125,34550.0,35050.0,34500.0,34600.0,928680
2023-04-11 00:00:00+00:00,32170.7734375,34650.0,34850.0,34400.0,34600.0,917570
2023-04-12 00:00:00+00:00,32217.19140625,34700.0,35000.0,34500.0,34650.0,1045551
2023-04-13 00:00:00+00:00,32402.87890625,34900.0,34900.0,34300.0,34500.0,1634225
2023-04-14 00:00:00+00:00,32820.68359375,35350.0,35650.0,34950.0,35000.0,1510047
2023-04-17 00:00:00+00:00,32959.953125,35500.0,35950.0,35300.0,35700.0,1005738
2023-04-18 00:00:00+00:00,32727.841796875,35250.0,35600.0,35050.0,35600.0,963786
2023-04-19 00:00:00+00:00,33099.21875,35650.0,35900.0,35250.0,35300.0,1074675
2023-04-20 00:00:00+00:00,33331.328125,35900.0,35900.0,35300.0,35450.0,902869
2023-04-21 00:00:00+00:00,33284.9140625,35850.0,35900.0,35500.0,35800.0,853429
